day,lat,lat_abs,lat_pred,test_error
6328.5,-4.226103,4.226103,-4.24281427133275,-0.016711271332749966
6329.5,-4.126043,4.126043,-4.142586953128114,-0.016543953128113742
6330.5,-4.024859,4.024859,-4.041223183571587,-0.016364183571586643
6331.5,-3.921519,3.921519,-3.93875355384971,-0.017234553849709844
6332.5,-3.818179,3.818179,-3.835208856489012,-0.017029856489011674
6333.5,-3.714839,3.714839,-3.730620075686594,-0.015781075686593926
6334.5,-3.609438,3.609438,-3.625018377733638,-0.015580377733638073
6335.5,-3.503055,3.503055,-3.5184351015360407,-0.015380101536040858
6336.5,-3.39572,3.39572,-3.4109017492331075,-0.015181749233107666
6337.5,-3.287464,3.287464,-3.3024499769199283,-0.014985976919928312
6338.5,-3.178319,3.178319,-3.193111585473286,-0.014792585473285769
6339.5,-3.068316,3.068316,-3.0829185114863664,-0.014602511486366598
6340.5,-2.957488,2.957488,-2.97190281831229,-0.014414818312289857
6341.5,-2.84587,2.84587,-2.860096687219426,-0.01422668721942566
6342.5,-2.733494,2.733494,-2.7475324086612725,-0.014038408661272594
6343.5,-2.620397,2.620397,-2.6342423736602436,-0.01384537366024352
6344.5,-2.506615,2.506615,-2.520259065309675,-0.013644065309674769
6345.5,-2.392183,2.392183,-2.405615050392282,-0.013432050392281791
6346.5,-2.277137,2.277137,-2.2903429711190233,-0.013205971119023108
6347.5,-2.161513,2.161513,-2.1744755369868125,-0.012962536986812712
6348.5,-2.045348,2.045348,-2.0580455167566334,-0.01269751675663322
6349.5,-1.928674,1.928674,-1.9410857305534488,-0.012411730553448796
6350.5,-1.811528,1.811528,-1.8236290420856962,-0.012101042085696179
6351.5,-1.693942,1.693942,-1.7057083509873892,-0.011766350987389096
6352.5,-1.575948,1.575948,-1.5873565852795262,-0.011408585279526262
6353.5,-1.457578,1.457578,-1.4686066939534839,-0.011028693953483826
6354.5,-1.338861,1.338861,-1.3494916396733663,-0.010630639673366193
6355.5,-1.219827,1.219827,-1.2300443915975454,-0.010217391597545422
6356.5,-1.100503,1.100503,-1.1102979183194908,-0.009794918319490753
6357.5,-0.980919,0.980919,-0.9902851809242676,-0.009366180924267664
6358.5,-0.861103,0.861103,-0.8700391261625369,-0.008936126162536917
6359.5,-0.741083,0.741083,-0.7495926797374068,-0.008509679737406795
6360.5,-0.620889,0.620889,-0.6289787397056522,-0.008089739705652188
6361.5,-0.50055,0.50055,-0.5082301699889977,-0.007680169988997676
6362.5,-0.380096,0.380096,-0.3873797939945576,-0.007283793994557586
6363.5,-0.259558,0.259558,-0.26646038834338975,-0.006902388343389743
6364.5,-0.138967,0.138967,-0.14550467670238337,-0.006537676702383366
6365.5,-0.018354,0.018354,-0.02454532372020192,-0.006191323720201921
6366.5,0.102248,0.102248,0.09638507093777014,-0.005862929062229863
6367.5,0.222808,0.222808,0.21725397845706845,-0.005554021542931553
6368.5,0.343291,0.343291,0.3380289466460829,-0.005262053353917107
6369.5,0.463665,0.463665,0.45867760561771276,-0.004987394382287236
6370.5,0.583893,0.583893,0.5791676733804955,-0.004725326619504533
6371.5,0.703942,0.703942,0.6994669613456106,-0.004475038654389363
6372.5,0.823776,0.823776,0.8195433797496697,-0.004232620250330221
6373.5,0.943357,0.943357,0.9393649429991562,-0.003992057000843818
6374.5,1.062651,1.062651,1.0588997749388003,-0.0037512250611997366
6375.5,1.181622,1.181622,1.1781161140462797,-0.003505885953720256
6376.5,1.300234,1.300234,1.2969823185592766,-0.0032516814407232975
6377.5,1.418454,1.418454,1.415466871535268,-0.002987128464732036
6378.5,1.536249,1.536249,1.5335383858509017,-0.002710614149098234
6379.5,1.653587,1.653587,1.6511656091414528,-0.00242139085854709
6380.5,1.770437,1.770437,1.7683174286865795,-0.002119571313420554
6381.5,1.886769,1.886769,1.8849628762450745,-0.0018061237549253928
6382.5,2.002557,2.002557,2.0010711328413637,-0.0014858671586361893
