index,day,lat,lat_pred,test_error
20269440,10557.0,1.392466,1.390415803277359,-0.002050196722640951
20269920,10557.25,1.348192,1.3590033221265443,0.010811322126544232
20270400,10557.5,1.326179,1.3275618597904615,0.001382859790461488
20270880,10557.75,1.307591,1.2960920377484257,-0.011498962251574207
20271360,10558.0,1.266672,1.2645944783609255,-0.0020775216390744866
20271840,10558.25,1.222478,1.2330698048565132,0.010591804856513232
20272320,10558.5,1.200554,1.2015186413166965,0.0009646413166966017
20272800,10558.75,1.181665,1.1699416126607107,-0.011723387339289237
20273280,10559.0,1.140441,1.138339344632364,-0.0021016553676360683
20273760,10559.25,1.096341,1.1067124637837058,0.010371463783705792
20274240,10559.5,1.074515,1.0750615974619988,0.0005465974619986991
20274720,10559.75,1.055329,1.043387373793305,-0.011941626206694922
20275200,10560.0,1.013814,1.011690421669175,-0.0021235783308248823
20275680,10560.25,0.969823,0.9799713707311778,0.010148370731177803
20276160,10560.5,0.948101,0.9482308513554688,0.0001298513554688352
20276640,10560.75,0.928623,0.9164694946392875,-0.012153505360712469
20277120,10561.0,0.886828,0.8846879323844301,-0.0021400676155698406
20277600,10561.25,0.842961,0.8528867970838755,0.009925797083875532
20278080,10561.5,0.821352,0.8210667219051858,-0.00028527809481415645
20278560,10561.75,0.801587,0.7892283406768561,-0.01235865932314395
20279040,10562.0,0.759525,0.7573722878726681,-0.002152712127331924
20279520,10562.25,0.715795,0.7254991985959209,0.009704198595920976
20280000,10562.5,0.694308,0.693609708565766,-0.0006982914342340552
20280480,10562.75,0.674261,0.6617044541003442,-0.012556545899655824
20280960,10563.0,0.631943,0.6297840721032604,-0.0021589278967396597
20281440,10563.25,0.588366,0.5978492000466543,0.009483200046654372
20281920,10563.5,0.567007,0.5659004759574059,-0.001106524042594148
20282400,10563.75,0.546686,0.5339385384011687,-0.012747461598831333
20282880,10564.0,0.504124,0.5019640264664604,-0.002159973533539583
20283360,10564.25,0.460713,0.4699775797506879,0.009264579750687896
20283840,10564.5,0.43949,0.4379798383431506,-0.001510161656849418
20284320,10564.75,0.418901,0.4059714428112131,-0.012929557188786911
20284800,10565.0,0.376109,0.37395303418324966,-0.0021559658167503715
20285280,10565.25,0.332877,0.34192525393455425,0.009048253934554273
20285760,10565.5,0.311798,0.30988874397125854,-0.0019092560287414795
20286240,10565.75,0.290947,0.27784414661412926,-0.01310285338587075
20286720,10566.0,0.247939,0.2457921045844913,-0.002146895415508693
20287200,10566.25,0.2049,0.2137332609869425,0.00883326098694251
20287680,10566.5,0.18397,0.18166825929543257,-0.0023017407045674287
20288160,10566.75,0.162866,0.1495977433359269,-0.013268256664073108
20288640,10567.0,0.119655,0.1175223572722312,-0.0021326427277687937
20289120,10567.25,0.076822,0.08544274558963644,0.008620745589636436
20289600,10567.5,0.056048,0.05335955307863828,-0.00268844692136172
20290080,10567.75,0.034697,0.021273424820601204,-0.013423575179398795
20290560,10568.0,-0.008702,-0.010814993829626487,-0.002112993829626488
20291040,10568.25,-0.051314,-0.04290505725782447,0.008408942742175532
20291520,10568.5,-0.071927,-0.07499611960788906,-0.0030691196078890537
20292000,10568.75,-0.093517,-0.10708753479616097,-0.013570534796160966
20292480,10569.0,-0.137089,-0.1391786565279311,-0.002089656527931111
20292960,10569.25,-0.179468,-0.1712688383138647,0.008199161686135298
20293440,10569.5,-0.199912,-0.20335743348448682,-0.0034454334844868095
20293920,10569.75,-0.221736,-0.2354437952076714,-0.013707795207671403
20294400,10570.0,-0.265467,-0.2675272765029573,-0.0020602765029573145
20294880,10570.25,-0.307598,-0.2996072302590696,0.007990769740930381
20295360,10570.5,-0.327866,-0.33168300924847516,-0.003817009248475167
20295840,10570.75,-0.349917,-0.36375396614390765,-0.01383696614390767
20296320,10571.0,-0.393794,-0.395819453535009,-0.0020254535350090475
20296800,10571.25,-0.435661,-0.42787882394282784,0.007782176057172185
20297280,10571.5,-0.455748,-0.45993142983751745,-0.0041834298375174606
20297760,10571.75,-0.478019,-0.49197662365265504,-0.013957623652655016
20298240,10572.0,-0.522028,-0.524013757802965,-0.001985757802964949
20298720,10572.25,-0.563618,-0.5560421846988696,0.007575815301130384
20299200,10572.5,-0.583515,-0.588061256763208,-0.0045462567632079676
20299680,10572.75,-0.606001,-0.6200703264478608,-0.014069326447860742
20300160,10573.0,-0.650128,-0.6520687462484394,-0.0019407462484393179
20300640,10573.25,-0.691427,-0.6840558687219557,0.0073711312780443405
20301120,10573.5,-0.711127,-0.7160310465013247,-0.004904046501324699
20301600,10573.75,-0.733821,-0.7479936323130505,-0.014172632313050548
20302080,10574.0,-0.778053,-0.7799429789919521,-0.0018899789919520904
20302560,10574.25,-0.819046,-0.811878439497839,0.007167560502161052
20303040,10574.5,-0.838543,-0.8437993669322975,-0.005256366932297474
20303520,10574.75,-0.861438,-0.8757051145533336,-0.014267114553333515
20304000,10575.0,-0.905761,-0.907595035793192,-0.0018340357931919682
20304480,10575.25,-0.946434,-0.9394684842728059,0.00696551572719406
20304960,10575.5,-0.96572,-0.9713248138196242,-0.005604813819624188
20305440,10575.75,-0.988811,-1.0031633784822724,-0.014352378482272443
20305920,10576.0,-1.033211,-1.0349835325473686,-0.0017725325473685327
20306400,10576.25,-1.073551,-1.066784630556226,0.006766369443773845
20306880,10576.5,-1.09262,-1.0985660273196356,-0.005946027319635672
20307360,10576.75,-1.115898,-1.1303270779355905,-0.01442907793559045
20307840,10577.0,-1.160361,-1.1620671378040694,-0.0017061378040694741
20308320,10577.25,-1.200356,-1.1937855626437461,0.006570437356253844
20308800,10577.5,-1.219201,-1.2254817085088026,-0.006280708508802579
20309280,10577.75,-1.242659,-1.2571549318036055,-0.014495931803605533
20309760,10578.0,-1.287171,-1.2888045893005304,-0.0016335893005303692
20310240,10578.25,-1.326807,-1.3204300381544334,0.0063769618455666865
20310720,10578.5,-1.345422,-1.3520306359204666,-0.006608635920466677
20311200,10578.75,-1.369052,-1.3836057405687465,-0.014553740568746587
20311680,10579.0,-1.413599,-1.4151547105011506,-0.0015557105011505534
20312160,10579.25,-1.452864,-1.446676904567996,0.0061870954320040195
20312640,10579.5,-1.471243,-1.4781716820828057,-0.006928682082805615
20313120,10579.75,-1.495037,-1.5096384028399856,-0.014601402839985678
20313600,10580.0,-1.539605,-1.5410764271293758,-0.0014714271293758685
20314080,10580.25,-1.578485,-1.5724851157539104,0.0059998842460895485
20314560,10580.5,-1.596623,-1.603863830044359,-0.007240830044359159
20315040,10580.75,-1.620574,-1.635211931875962,-0.014637931875961963
20315520,10581.0,-1.665148,-1.6665287836851614,-0.0013807836851613686
20316000,10581.25,-1.703632,-1.6978137484842135,0.005818251515786521
